,Unnamed: 0,id,book_id,best_book_id,work_id,books_count,isbn13,original_publication_year,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,goodreads_book_id
62,62,63,6185,6185,1565818,2498,9780393978900.0,1847.0,3.82,899195,1001135,26157,46469,84084,215320,309180,6185
63,63,64,10917,10917,1639903,125,9780743454540.0,2004.0,4.06,863879,887880,30719,17547,42763,162573,314003,10917
64,64,65,4981,4981,1683562,241,9780385333850.0,1969.0,4.06,846488,891762,19646,24964,45518,152442,300948,4981
65,65,66,18405,18405,3358283,409,9780446675540.0,1936.0,4.28,873981,897303,16050,19996,33136,116160,234290,18405
66,66,67,128029,128029,3271379,197,9781594489500.0,2007.0,4.34,818742,866065,43645,6509,18015,99030,295817,128029
67,67,68,22628,22628,2236198,128,9780671027350.0,1999.0,4.21,888806,954905,47116,14286,38658,143440,297501,22628
68,68,69,11735983,11735983,15524542,164,9780007442910.0,2012.0,4.07,836362,947338,55873,10641,44620,182131,339977,11735983
69,69,70,375802,375802,2422333,224,9780812550700.0,1985.0,4.3,813439,873417,38054,15330,27612,103439,264207,375802
70,70,71,18490,18490,4836639,2618,9780141439470.0,1818.0,3.75,808589,883563,19993,29366,74142,231022,300495,18490
71,71,72,11588,11588,849585,289,9780450040180.0,1977.0,4.17,791850,830881,14936,18487,28981,123862,277393,11588
72,72,73,1656001,1656001,3328799,161,9780316068050.0,2008.0,3.84,749780,777560,39778,44215,62501,154906,227180,1656001
73,73,74,99561,99561,919292,187,9780142402510.0,2005.0,4.09,783470,831285,47128,16940,44232,147324,262932,99561
74,74,75,227443,227443,3185154,193,9780140280100.0,1996.0,3.75,736498,754498,8157,28973,59309,198555,254836,227443
75,75,76,14935,14935,2809709,1969,9780141439660.0,1811.0,4.06,738894,779382,11526,18430,34699,141987,272512,14935
76,76,77,38709,38709,1679789,138,9780439244190.0,1998.0,3.93,747445,764637,15832,15495,43786,176946,269153,38709
77,77,78,5139,5139,38765,129,9780307275550.0,2003.0,3.7,665930,679845,8024,24231,58323,192366,226675,5139
78,78,79,1381,1381,3356006,1703,9780143039950.0,-720.0,3.73,670326,710757,8101,29703,65629,183082,224120,1381
79,79,80,157993,157993,2180358,1708,9780156012200.0,1946.0,4.28,738757,859286,24537,15039,32866,114714,228440,157993
80,80,81,7445,7445,2944133,92,9780743247540.0,2005.0,4.24,621099,637866,40777,7901,18922,85191,227750,7445
81,81,82,1845,1845,3284484,108,9780385486800.0,1996.0,3.94,647684,665377,17299,19229,35567,135199,248287,1845
82,82,83,1953,1953,2956372,525,9780141439600.0,1859.0,3.81,637412,677713,13093,28904,55555,153305,216378,1953
83,83,84,7677,6424171,3376836,176,9780307348140.0,1990.0,3.96,447833,650483,8143,15736,34222,138327,231583,7677
84,84,85,370493,370493,30530,81,9780060256650.0,1964.0,4.38,702332,708287,14368,15345,20408,76071,167542,370493
85,85,86,32542,32542,1804929,158,9780385338610.0,1989.0,4.03,597775,608824,4239,12106,25938,122675,218617,32542
86,86,87,1617,1617,265616,109,9780374500020.0,1958.0,4.3,691231,707879,22001,7761,18539,90575,230227,1617
87,87,88,6442769,6442769,3364505,178,9780142414930.0,2008.0,3.88,461311,655271,42717,14105,47183,154479,223895,6442769
88,88,89,21787,21787,992628,129,9780345418260.0,1973.0,4.25,628637,658042,15630,12883,21641,89236,196047,21787
89,89,90,231804,231804,1426690,156,9780140385720.0,1967.0,4.06,659248,680437,22662,10178,34346,134244,227250,231804
90,90,91,6186357,6186357,6366642,147,9780385737940.0,2009.0,4.02,719925,777956,48942,15291,43370,150488,266698,6186357
91,91,92,1202,1202,5397,124,9780061234000.0,2005.0,3.93,524191,549301,13668,14586,26538,115789,216316,1202
92,92,93,2998,2998,3186437,1350,9780517189600.0,1911.0,4.12,639357,692249,13054,8005,25207,129646,243821,2998
93,93,94,320,320,3295655,555,9780060531040.0,1967.0,4.04,490565,575667,21671,27340,37646,87675,155809,320
94,94,95,5297,5297,1858012,2303,9780375751520.0,1891.0,4.06,590014,674551,19647,9825,30735,129420,246892,5297
95,95,96,13536860,13536860,18034963,133,9780345803500.0,2012.0,3.88,387290,610116,25287,39079,55691,109963,140304,13536860
96,96,97,17245,17245,3165724,2207,9780393970130.0,1897.0,3.98,618973,689739,17263,11756,36719,151396,246043,17245
97,97,98,5060378,5060378,6976108,209,9780307269980.0,2006.0,4.22,563994,649253,31423,4623,15781,91021,258236,5060378
98,98,99,11857408,11857408,16813814,147,9781612130580.0,2011.0,3.87,552059,623340,28052,37245,58935,114203,150906,11857408
99,99,100,7244,7244,810663,39,9780060786500.0,1998.0,4.02,546502,562787,19941,21699,33702,92590,175725,7244
100,100,101,4137,4137,1030767,59,9780349113910.0,2000.0,3.97,495736,514276,14982,19718,29034,93427,178021,4137
101,101,102,19543,19543,3020535,110,9780099408390.0,1963.0,4.22,620618,636061,9102,15392,27532,93700,167043,19543
102,102,103,7126,7126,391568,1310,9780140449270.0,1844.0,4.21,555822,601220,15925,10381,22482,89980,183142,7126
103,103,104,6288,6288,3355573,181,9780307265430.0,2006.0,3.95,504793,555787,38980,20086,36561,100989,190823,6288
104,104,105,18710190,18710190,15524549,153,9780007524270.0,2013.0,3.63,463257,663226,62536,31626,78366,176061,192785,18710190
105,105,106,9418327,9418327,14302659,48,,2011.0,3.94,506250,609260,35142,14842,31761,129390,230080,9418327
106,106,107,3473,3473,3143497,131,9780446693810.0,1999.0,4.15,546948,559581,11071,10640,24094,94327,169650,3473
107,107,108,9416,9416,3237433,144,9780440241420.0,2000.0,3.61,543658,558004,11170,30705,56949,156636,166927,9416
108,108,109,24280,24280,3208463,1319,9780451525260.0,1862.0,4.14,513407,560132,12505,15225,25914,87461,167385,24280
109,109,110,10572,10572,3272005,202,9780553381700.0,1998.0,4.4,523303,606765,20325,1788,7104,56167,221706,10572
110,110,111,10441,10441,2868431,98,9780143037150.0,2005.0,3.64,501430,510582,18027,19453,47004,145437,183150,10441
111,111,112,15507958,15507958,17763198,168,9780670026610.0,2012.0,4.27,587647,741133,71412,10346,21880,91517,249474,15507958
112,112,113,168668,168668,814330,251,9780684833390.0,1961.0,3.98,563265,582515,13734,20639,37912,106269,186745,168668
113,113,114,6900,6900,1995335,172,9780751529810.0,1997.0,4.06,556518,584397,19272,11507,30534,107446,194448,6900
114,114,115,2187,2187,1352495,125,9780312422160.0,2002.0,3.98,488243,507998,20880,19329,30503,89740,171099,2187
115,115,116,24583,24583,41326609,2448,9780143039560.0,1876.0,3.89,555359,594226,7165,12130,34349,143659,217896,24583
116,116,117,18131,18131,948387,165,9780440498060.0,1962.0,4.04,615907,650094,19413,17313,34988,119115,209745,18131
117,117,118,7763,7763,1955658,126,9780143038090.0,1989.0,3.9,515090,525243,6708,14802,30197,116748,195930,7763
118,118,119,38447,38447,1119185,236,9780385490820.0,1985.0,4.06,607889,683564,35925,13998,32561,116975,252942,38447
119,119,120,452306,452306,1058370,93,9780385729340.0,2001.0,3.75,525706,536604,6477,14996,42396,152024,177404,452306
120,120,121,7604,7604,1268631,370,,1955.0,3.88,469836,517990,18107,21091,37205,108664,165477,7604
121,121,122,37442,37442,1479280,80,9780060987110.0,1995.0,3.52,506900,525498,22926,40802,65835,132061,153583,37442
122,122,123,5358,5358,38270,11,9780582418270.0,1991.0,3.99,488269,488355,3139,5075,20119,111543,190966,5358
123,123,124,7937843,7937843,9585076,151,9780316098340.0,2010.0,4.03,511360,556327,42254,11020,26079,99831,217995,7937843
124,124,125,1420,1420,1885548,1929,9780521618750.0,1600.0,4.0,515820,576894,8889,10413,32697,121040,192937,1420
125,125,126,234225,234225,3634639,241,9780340839940.0,1965.0,4.19,485032,525976,13239,13354,22778,74206,154771,234225
126,126,127,2612,2612,2124255,100,9780316346630.0,2000.0,3.92,490504,499066,10895,15111,25871,106453,189120,2612
127,127,128,11084145,11084145,16005831,190,9781451648540.0,2011.0,4.09,560715,579256,15198,19680,21986,88456,203975,11084145
128,128,129,332613,332613,2100252,275,9780451163970.0,1962.0,4.18,491642,514458,7855,5672,15978,78714,191622,332613
129,129,130,2165,2165,69741,666,9780684830490.0,1952.0,3.73,520630,574328,16716,28645,52583,136217,186747,2165
130,130,131,4395,18114322,2931549,381,9780142000660.0,1939.0,3.92,322321,553352,12991,23552,40261,103475,173589,4395
131,131,132,3431,3431,2561472,123,9781401308580.0,2003.0,3.9,449501,474699,16682,12360,33669,107800,155830,3431
132,132,133,8127,8127,3464264,1314,9780451528830.0,1908.0,4.23,502247,533352,14041,8864,19531,80256,158725,8127
133,133,134,3777732,3777732,3443248,122,9781416914300.0,2009.0,4.34,593173,630560,22736,6646,17351,79202,179290,3777732
134,134,135,62291,62291,1164465,175,9780553573430.0,2000.0,4.54,469022,527644,19497,1456,4820,36418,149268,62291
135,135,136,137791,137791,1010054,75,9780060759960.0,1996.0,3.79,465676,470508,3867,15795,35314,120396,158451,137791
136,136,137,10964,10964,2489796,189,9780440242950.0,1991.0,4.2,515547,578842,36707,20998,27673,73126,147085,10964
137,137,138,12296,12296,4925227,1579,9780142437260.0,1850.0,3.37,509883,559246,11428,34813,80444,182701,165079,12296
138,138,139,9460487,9460487,14345371,155,9781594744760.0,2011.0,3.89,613674,672222,53569,14920,45434,159227,234792,9460487
139,139,140,6892870,6892870,12883496,193,9780307270000.0,2007.0,4.2,443951,526791,26766,3823,14773,78387,203297,6892870
140,140,141,18007564,18007564,21825181,148,9780804139020.0,2012.0,4.39,423344,529702,61298,4114,10856,49200,173861,18007564
141,141,142,5043,5043,3359698,255,9780451207140.0,1989.0,4.29,462517,495893,26283,9248,16886,57825,148052,5043
142,142,143,18143977,18143977,25491300,139,9781476746590.0,2014.0,4.31,470001,547827,53413,6209,14527,61020,185239,18143977
143,143,144,8664353,8664353,12946965,16,9781400064170.0,2010.0,4.4,487775,528552,41572,10308,12874,47828,144203,8664353
144,144,145,976,976,3135896,180,9780671027380.0,2001.0,3.67,455610,479733,7798,14380,45006,143182,160819,976
145,145,146,17333223,17333223,24065147,108,9780316055440.0,2013.0,3.87,396756,463847,44631,19164,35300,93459,153459,17333223
146,146,147,1217100,29844228,2588213,150,9781595141710.0,2007.0,4.02,463783,571281,43467,15246,35668,105414,179197,1217100
147,147,148,2865,2865,3358875,169,9780452287020.0,1999.0,3.85,467577,492177,8011,11525,28287,123463,189656,2865
148,148,149,4374400,4374400,4422413,130,9780525421030.0,2009.0,3.96,503527,567087,34959,12666,34896,122977,190793,4374400
149,149,150,4989,4989,1041558,80,9780312353770.0,1997.0,4.16,424981,449217,17234,9470,19616,67878,146178,4989
150,150,151,28186,28186,43554,121,9780786856860.0,2006.0,4.23,514932,550512,20097,2967,13884,91127,188988,28186
151,151,152,5526,5526,3222389,111,9780446528050.0,2006.0,4.01,441062,454781,10626,9683,25220,94711,145202,5526
152,152,153,1582996,1582996,1575860,125,9781416914300.0,2008.0,4.21,541117,586008,23643,6135,20075,92626,192934,1582996
153,153,154,8852,8852,1896522,1732,9780743477110.0,1606.0,3.88,496018,524826,7609,10551,35408,127354,183871,8852
154,154,155,15241,15241,2963845,453,9780618346260.0,1954.0,4.42,480446,532209,6980,3013,10264,55433,156232,15241
155,155,156,42156,42156,1789440,65,9780312321180.0,2004.0,3.83,403601,435189,11567,16019,29297,104322,148507,42156
156,156,157,23772,23772,86934,72,9780394800160.0,1960.0,4.29,457475,461041,7370,6605,14530,66873,121751,23772
157,157,158,6310,6310,2765786,338,9780142403880.0,1964.0,4.1,453959,494747,8473,6236,17193,94240,178216,6310
158,158,159,2120932,2120932,2377629,92,9781423101470.0,2008.0,4.39,508214,537708,14098,2435,8093,62108,172289,2120932
159,159,160,2623,2623,2612809,1725,9780192833590.0,1860.0,3.75,459247,507187,12311,22811,44293,120385,170702,2623
160,160,161,18512,18512,2964424,470,9780345339740.0,1955.0,4.51,463959,510537,6644,2691,8008,42693,132149,18512
161,161,162,49552,49552,3324344,675,,1942.0,3.96,420600,483623,14836,10563,28920,100140,174957,49552
162,162,163,7736182,7736182,10107891,72,9781423113390.0,2010.0,4.35,271576,489495,17107,5020,11267,58590,148498,7736182
163,163,164,15745753,15745753,17225055,103,9781250012580.0,2013.0,4.11,514312,579753,53005,12904,26371,94470,196224,15745753
164,164,165,13497,13497,1019062,176,9780553582020.0,2005.0,4.1,428186,481130,18876,3170,18574,94401,175973,13497
165,165,166,7735333,7735333,9631645,84,9780525423640.0,2010.0,3.68,511815,530680,30226,24343,53804,138030,165412,7735333
166,166,167,4407,30165203,1970226,196,9780747263750.0,2001.0,4.11,378019,518343,27587,9888,24944,83253,178346,4407
167,167,168,149267,149267,1742269,195,9780385199580.0,1978.0,4.34,438832,469953,13808,5647,13612,56722,134098,149267
168,168,169,6400090,6400090,6588800,95,9780446547570.0,2008.0,4.14,424637,438429,11051,7253,17803,77712,140241,6400090
169,169,170,11125,11125,40195,185,9780552151700.0,1998.0,3.6,423019,447503,7538,16592,47507,136196,144029,11125
170,170,171,6969,6969,3360164,1710,9780141439590.0,1815.0,3.99,459826,497949,11724,11386,25777,102144,178238,6969
171,171,172,15823480,15823480,2507928,1492,9780345803920.0,1877.0,4.02,297472,472796,18064,11738,26945,88365,158179,15823480
172,172,173,227463,227463,23596,283,9780393312840.0,1962.0,3.98,431195,454391,9958,14741,24244,84863,163488,227463
173,173,174,1812457,1812457,2666268,134,9780964729230.0,2007.0,3.74,419539,438292,29377,35734,42977,84751,111923,1812457
174,174,175,4502507,4556058,4551489,87,9780739380340.0,2009.0,4.5,397500,499510,17693,2098,6501,45208,133168,4502507
175,175,176,18342,830502,150259,7,9780451169520.0,1986.0,4.18,292592,479381,11698,8464,19610,75841,148672,18342
176,176,177,7144,7144,3393917,1714,9780143058140.0,1866.0,4.18,380903,444675,12605,9477,20078,64050,137104,7144
177,177,178,6514,6514,1385044,246,9780061148510.0,1963.0,3.98,401605,442157,15963,8266,23983,92408,162216,6514
178,178,179,252577,252577,2883783,184,9780007205230.0,1996.0,4.07,392103,419746,9798,7657,18327,73550,155775,252577
179,179,180,52036,52036,4840290,972,9780553208850.0,1922.0,3.99,372099,418653,11518,10229,25529,83698,138837,52036
180,180,181,168642,168642,1940709,223,9780679745590.0,1965.0,4.05,381652,401839,11754,10639,17836,70857,144616,168642
181,181,182,6304335,6304335,6488966,119,9780316042670.0,2009.0,3.76,436093,458518,20808,19917,43525,113352,132492,6304335
182,182,183,7171637,7171637,6674837,103,9781416975860.0,2010.0,4.33,490890,515759,24385,8364,15544,61409,140928,7171637
183,183,184,39988,39988,1015554,242,9780141301070.0,1988.0,4.29,440743,463491,11053,4277,10823,64536,152003,39988
184,184,185,9361589,9361589,14245059,119,9780385534640.0,2011.0,4.03,429543,474826,54008,11349,28650,84254,159596,9361589
185,185,186,37470,37470,3248536,111,9780743227440.0,2001.0,4.04,381080,399223,15846,5311,16716,78620,153807,37470
186,186,187,24770,24770,2895388,98,9780689865380.0,2005.0,3.86,449073,464589,21234,15531,34808,106086,151540,24770
187,187,188,10664113,10664113,2936175,115,,2011.0,4.31,365954,424618,20072,2399,10150,53744,147136,10664113
188,188,189,33,33,3462456,380,9780618640160.0,1955.0,4.47,389054,436346,9365,4807,9577,37552,106818,33
189,189,190,12262741,12262741,17237712,101,9780307592740.0,2012.0,3.96,379872,420903,34444,8344,22137,85489,165482,12262741
190,190,191,472331,472331,4358649,90,9780930289230.0,1987.0,4.35,398018,409323,10851,6349,11732,44847,116877,472331
191,191,192,186074,186074,2502879,123,9780756404080.0,2007.0,4.55,400101,449372,28631,5605,8582,28480,95470,186074
192,192,193,3228917,3228917,3364437,120,9780316017920.0,2008.0,4.11,353011,369126,19383,4494,12545,62510,148978,3228917
193,193,194,153747,153747,2409320,1823,9780142437250.0,1851.0,3.46,358050,397963,11223,35983,52601,103625,102432,153747
194,194,195,2728527,2728527,2754161,116,9780385340990.0,2008.0,4.12,393626,423672,39853,7190,17250,68942,155107,2728527
195,195,196,5759,5759,68729,162,9780393327340.0,1996.0,4.2,365349,388654,11176,4578,12632,58110,139554,5759
196,196,197,301082,301082,479517,109,9780441008540.0,2001.0,3.96,420764,444824,16818,11330,25781,96290,148326,301082
197,197,198,11486,11486,3300573,155,9780671727800.0,1982.0,4.17,376766,400965,9485,6298,14477,62380,140835,11486
198,198,199,12691,12691,14961,119,9780739461200.0,2005.0,4.12,367304,379348,13407,5485,14940,68532,131536,12691
199,199,200,16299,16299,3038872,474,9780312330870.0,1939.0,4.23,408983,456680,17264,6134,12476,66243,156306,16299
200,200,201,6411961,6411961,6600281,208,9780385504220.0,2009.0,3.66,369428,404982,24199,11293,40545,120122,136545,6411961
201,201,202,6339664,6339664,6525609,91,9781416989420.0,2009.0,4.0,448166,461802,21871,19338,33543,82544,120204,6339664
202,202,203,11505797,11505797,16441531,85,,2011.0,4.15,418309,442696,25298,17185,23298,61993,115123,11505797
203,203,204,5326,5326,3097440,2380,9781561797460.0,1843.0,4.02,394540,441396,11568,6737,21415,93906,153823,5326
204,204,205,43763,43763,873132,189,9780345476880.0,1976.0,3.97,372566,393941,7951,7519,22377,84804,137659,43763
205,205,206,10507293,10507293,15413183,93,9780062059930.0,2012.0,4.15,505340,539091,35681,13841,25349,83692,158716,10507293
206,206,207,6853,6853,1486401,109,9780312362090.0,1994.0,4.03,391007,403315,13050,9176,19657,80319,133454,6853
207,207,208,6493208,6493208,6684634,66,9781400052170.0,2010.0,4.04,377249,404440,28624,10782,18237,70339,151226,6493208
208,208,209,23807,23807,22533,187,9780099446780.0,1988.0,4.14,351107,366112,3866,10268,12845,55427,123652,23807
209,209,210,345627,345627,335933,132,9781595141740.0,2007.0,4.14,248283,455151,19720,12535,22043,73357,129382,345627
210,210,211,40102,40102,1180927,116,9780316010660.0,2005.0,3.89,348196,360338,12215,6804,20128,85934,139947,40102
211,211,212,6867,6867,2307233,155,9780385721790.0,2001.0,3.88,347006,365658,14815,11473,25462,77135,134788,6867
212,212,213,485894,485894,2373750,1316,9780553213690.0,1915.0,3.78,364933,414533,10252,15430,33226,98774,146297,485894
213,213,214,561456,561456,2936530,94,9780141382890.0,2007.0,4.33,446668,486262,15418,1863,7934,65220,162371,561456
214,214,215,9969571,9969571,14863741,112,9780307887440.0,2011.0,4.31,349423,421819,52120,5150,12928,48285,134107,9969571
215,215,216,3153910,3153910,3175590,90,9781554681720.0,2006.0,4.19,327409,354319,32021,4808,13901,53780,118166,3153910
216,216,217,21996,21996,3486041,70,9780739303400.0,2003.0,3.98,309385,350607,25846,6687,18709,69012,135360,21996
217,217,218,13572249,20448515,18973111,96,9780425263910.0,2012.0,4.19,222678,386136,16748,9867,18983,55554,104657,13572249
218,218,219,11127,11127,781271,270,9780066238500.0,1956.0,4.24,376385,401676,8871,3772,12192,59975,133056,11127
219,219,220,3609760,3609760,3652511,20,9780316043140.0,,4.23,291411,291899,532,6862,11019,48008,67939,3609760
220,220,221,60748,60748,59104,74,9781558743660.0,1995.0,4.08,311543,321298,13729,7819,16453,57341,98786,60748
221,221,222,7869,7869,859111,143,9780752864330.0,1980.0,3.98,327122,336212,3899,10266,17695,65161,118463,7869
222,222,223,249747,249747,1334778,163,9780786817870.0,2001.0,3.82,386923,399165,8384,14473,30894,94950,129607,249747
223,223,224,6487308,6487308,6678670,97,9780385738930.0,2009.0,3.74,395296,408108,17725,23594,41578,94145,107149,6487308
224,224,225,4406,4406,2574991,81,9780142000660.0,1952.0,4.35,320919,336682,14454,4183,9409,39153,96741,4406
225,225,226,5886881,5886881,6873353,131,9780307341560.0,2009.0,3.92,333452,386607,28784,5169,17975,89242,165108,5886881
226,226,227,5359,5359,137715,134,9780385339090.0,1993.0,3.97,320083,325663,1917,2530,12566,79176,129019,5359
227,227,228,228333,228333,221139,84,9780312291630.0,2002.0,3.4,323762,328073,5121,17006,43014,116021,95951,228333
228,228,229,24213,24213,2375385,845,9780451527740.0,1865.0,4.06,340920,377190,7736,5294,17482,76985,127906,24213
229,229,230,2156,2156,2534720,1451,9780192802640.0,1817.0,4.13,365425,402359,13117,6688,15653,71218,133222,2156
